,name,brand,price,img,id,features,place,year,age,outcome,Cluster
3359,Bentley Continental GT V8 - 2020,Bentley,769530,https://bonbanh.com.vn/uploads/users/527847/car/3439759/s_1601035081.519.jpeg,3439759,"BENTLEY GT 4.0 2020 New 100% siêu phẩm 2 cánh model mới nhất, Hàng có sẵn giao ngay .
Động cơ của Bentley Continental GT V8 thế hệ mới là ""trái tim"" V8, dung tích 4.0 lít, 32 van, được ...",Hà Nội,2020,49,771737,1
533,Mercedes Benz Maybach GLS 600 4Matic - 2020,Mercedes,734944,https://bonbanh.com.vn/uploads/users/338888/car/3376181/s_1597654553.963.jpeg,3376181,"MERCEDES BENZ GLS600 MAYBACH 2020
○ Trang bị động cơ V8 4.0L Twin turbo 558HP, hộp số tự động 9G - Tronic, dẫn động 4 bánh toàn thời gian 4MATIC.
Kích thước: 5205 x 2030 x 1838mm, ...",TP HCM,2020,41,736263,1
534,Mercedes Benz Maybach GLS 600 4Matic - 2020,Mercedes,734944,https://bonbanh.com.vn/uploads/users/338888/car/3376181/s_1597654553.963.jpeg,3376181,"MERCEDES BENZ GLS600 MAYBACH 2020
○ Trang bị động cơ V8 4.0L Twin turbo 558HP, hộp số tự động 9G - Tronic, dẫn động 4 bánh toàn thời gian 4MATIC.
Kích thước: 5205 x 2030 x 1838mm, ...",TP HCM,2020,62,737921,1
535,Mercedes Benz Maybach GLS 600 4Matic - 2020,Mercedes,734944,https://bonbanh.com.vn/uploads/users/338888/car/3376181/s_1597654553.963.jpeg,3376181,"MERCEDES BENZ GLS600 MAYBACH 2020
○ Trang bị động cơ V8 4.0L Twin turbo 558HP, hộp số tự động 9G - Tronic, dẫn động 4 bánh toàn thời gian 4MATIC.
Kích thước: 5205 x 2030 x 1838mm, ...",TP HCM,2020,34,738996,1
536,Mercedes Benz Maybach GLS 600 4Matic - 2020,Mercedes,734944,https://bonbanh.com.vn/uploads/users/338888/car/3376181/s_1597654553.963.jpeg,3376181,"MERCEDES BENZ GLS600 MAYBACH 2020
○ Trang bị động cơ V8 4.0L Twin turbo 558HP, hộp số tự động 9G - Tronic, dẫn động 4 bánh toàn thời gian 4MATIC.
Kích thước: 5205 x 2030 x 1838mm, ...",TP HCM,2020,54,737001,1
1404,Bentley Continental GTC W12 - 2015,Bentley,561584,https://bonbanh.com.vn/uploads/users/69248/car/3477344/s_1589856990.671.jpeg,3477344,"Bán Bentley Continental GTC Convertible W12 sản xuất 2015,đăng ký mới 2018, màu trắng nội thất nâu, 2 cửa mui xếp, phiên bản Mulliner cao cấp đầy đủ option, xe biển số Tp HCM, cá ...",TP HCM,2015,55,562784,1
1405,Bentley Continental GTC W12 - 2015,Bentley,561584,https://bonbanh.com.vn/uploads/users/69248/car/3477344/s_1589856990.671.jpeg,3477344,"Bán Bentley Continental GTC Convertible W12 sản xuất 2015,đăng ký mới 2018, màu trắng nội thất nâu, 2 cửa mui xếp, phiên bản Mulliner cao cấp đầy đủ option, xe biển số Tp HCM, cá ...",TP HCM,2015,39,564738,1
1406,Bentley Continental GTC W12 - 2015,Bentley,561584,https://bonbanh.com.vn/uploads/users/69248/car/3477344/s_1589856990.671.jpeg,3477344,"Bán Bentley Continental GTC Convertible W12 sản xuất 2015,đăng ký mới 2018, màu trắng nội thất nâu, 2 cửa mui xếp, phiên bản Mulliner cao cấp đầy đủ option, xe biển số Tp HCM, cá ...",TP HCM,2015,24,564818,1
1407,Bentley Continental GTC W12 - 2015,Bentley,561584,https://bonbanh.com.vn/uploads/users/69248/car/3477344/s_1589856990.671.jpeg,3477344,"Bán Bentley Continental GTC Convertible W12 sản xuất 2015,đăng ký mới 2018, màu trắng nội thất nâu, 2 cửa mui xếp, phiên bản Mulliner cao cấp đầy đủ option, xe biển số Tp HCM, cá ...",TP HCM,2015,54,565294,1
1266,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,56,533793,1
1267,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,31,536030,1
1268,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,40,534926,1
1269,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,44,533140,1
1270,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,21,536229,1
1271,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,30,534368,1
1272,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,51,533872,1
1273,LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2020,LandRover,531754,https://bonbanh.com.vn/uploads/users/125573/car/3243680/s_1590744213.838.jpg,3243680,"Bán LandRover Range Rover SVAutobiography LWB 3.0L 2020
Bản cao cấp nhất của dòng Range Rover thùng to.
Xe được trang bị động cơ V6, 3.0L siêu tăng áp cho công suất 456 mã lực và ...",Hà Nội,2020,33,534520,1
2317,Mercedes Benz Maybach S560 4Matic - 2019,Mercedes,479832,https://bonbanh.com.vn/uploads/users/72856/car/2137380/s_1546850626.113.jpg,2137380,"Cần bán xe Mercedes S560 4Matic màu đen, số tự động, máy xăng 2019.
Xe được trang bị công nghệ, tính năng an toàn vượt trội, nội thất da cao cấp, Camera 360 độ, Kính cửa sổ ...",TP HCM,2019,63,483789,1
2318,Mercedes Benz Maybach S560 4Matic - 2019,Mercedes,479832,https://bonbanh.com.vn/uploads/users/72856/car/2137380/s_1546850626.113.jpg,2137380,"Cần bán xe Mercedes S560 4Matic màu đen, số tự động, máy xăng 2019.
Xe được trang bị công nghệ, tính năng an toàn vượt trội, nội thất da cao cấp, Camera 360 độ, Kính cửa sổ ...",TP HCM,2019,38,481228,1
2319,Mercedes Benz Maybach S560 4Matic - 2019,Mercedes,479832,https://bonbanh.com.vn/uploads/users/72856/car/2137380/s_1546850626.113.jpg,2137380,"Cần bán xe Mercedes S560 4Matic màu đen, số tự động, máy xăng 2019.
Xe được trang bị công nghệ, tính năng an toàn vượt trội, nội thất da cao cấp, Camera 360 độ, Kính cửa sổ ...",TP HCM,2019,43,482476,1
3313,Mercedes Benz Maybach S560 4Matic - 2020,Mercedes,479832,https://bonbanh.com.vn/uploads/users/511297/car/3302364/s_1593766182.579.jpg,3302364,"Tuần lễ vàng giảm giá lên đến gần 400 triệu
Trả trước 500tr nhận ngay S560 Maybach mới 100%
Còn chần chờ gì nữa hãy gọi ngay để đươc xem xe và nhận khuyến mãi cực ...",TP HCM,2020,45,482986,1
3314,Mercedes Benz Maybach S560 4Matic - 2020,Mercedes,479832,https://bonbanh.com.vn/uploads/users/511297/car/3302364/s_1593766182.579.jpg,3302364,"Tuần lễ vàng giảm giá lên đến gần 400 triệu
Trả trước 500tr nhận ngay S560 Maybach mới 100%
Còn chần chờ gì nữa hãy gọi ngay để đươc xem xe và nhận khuyến mãi cực ...",TP HCM,2020,68,482372,1
3315,Mercedes Benz Maybach S560 4Matic - 2020,Mercedes,479832,https://bonbanh.com.vn/uploads/users/511297/car/3302364/s_1593766182.579.jpg,3302364,"Tuần lễ vàng giảm giá lên đến gần 400 triệu
Trả trước 500tr nhận ngay S560 Maybach mới 100%
Còn chần chờ gì nữa hãy gọi ngay để đươc xem xe và nhận khuyến mãi cực ...",TP HCM,2020,58,481651,1
3316,Mercedes Benz Maybach S560 4Matic - 2020,Mercedes,479832,https://bonbanh.com.vn/uploads/users/511297/car/3302364/s_1593766182.579.jpg,3302364,"Tuần lễ vàng giảm giá lên đến gần 400 triệu
Trả trước 500tr nhận ngay S560 Maybach mới 100%
Còn chần chờ gì nữa hãy gọi ngay để đươc xem xe và nhận khuyến mãi cực ...",TP HCM,2020,29,481797,1
3317,Mercedes Benz Maybach S560 4Matic - 2020,Mercedes,479832,https://bonbanh.com.vn/uploads/users/511297/car/3302364/s_1593766182.579.jpg,3302364,"Tuần lễ vàng giảm giá lên đến gần 400 triệu
Trả trước 500tr nhận ngay S560 Maybach mới 100%
Còn chần chờ gì nữa hãy gọi ngay để đươc xem xe và nhận khuyến mãi cực ...",TP HCM,2020,60,484461,1
3318,Mercedes Benz Maybach S560 4Matic - 2020,Mercedes,479832,https://bonbanh.com.vn/uploads/users/511297/car/3302364/s_1593766182.579.jpg,3302364,"Tuần lễ vàng giảm giá lên đến gần 400 triệu
Trả trước 500tr nhận ngay S560 Maybach mới 100%
Còn chần chờ gì nữa hãy gọi ngay để đươc xem xe và nhận khuyến mãi cực ...",TP HCM,2020,48,483610,1
3319,Mercedes Benz Maybach S560 4Matic - 2020,Mercedes,479832,https://bonbanh.com.vn/uploads/users/511297/car/3302364/s_1593766182.579.jpg,3302364,"Tuần lễ vàng giảm giá lên đến gần 400 triệu
Trả trước 500tr nhận ngay S560 Maybach mới 100%
Còn chần chờ gì nữa hãy gọi ngay để đươc xem xe và nhận khuyến mãi cực ...",TP HCM,2020,45,481821,1
2401,LandRover Range Rover Autobiography LWB 3.0 I6 - 2021,LandRover,436643,https://bonbanh.com.vn/uploads/users/357411/car/3497097/s_1604118970.980.jpg,3497097,"Bán xe Range Rover Autobiography L P400 3.0 model 2021, màu đen, nhập khẩu Mỹ gía tốt nhất Việt Nam. Xe có sẵn giao ngay
- - Giao xe toàn quốc miễn phí vận chuyển.
- - Hỗ trợ mọi ...",Hà Nội,2021,33,438025,4
2402,LandRover Range Rover Autobiography LWB 3.0 I6 - 2021,LandRover,436643,https://bonbanh.com.vn/uploads/users/357411/car/3497097/s_1604118970.980.jpg,3497097,"Bán xe Range Rover Autobiography L P400 3.0 model 2021, màu đen, nhập khẩu Mỹ gía tốt nhất Việt Nam. Xe có sẵn giao ngay
- - Giao xe toàn quốc miễn phí vận chuyển.
- - Hỗ trợ mọi ...",Hà Nội,2021,39,439069,4
2403,LandRover Range Rover Autobiography LWB 3.0 I6 - 2021,LandRover,436643,https://bonbanh.com.vn/uploads/users/357411/car/3497097/s_1604118970.980.jpg,3497097,"Bán xe Range Rover Autobiography L P400 3.0 model 2021, màu đen, nhập khẩu Mỹ gía tốt nhất Việt Nam. Xe có sẵn giao ngay
- - Giao xe toàn quốc miễn phí vận chuyển.
- - Hỗ trợ mọi ...",Hà Nội,2021,62,437709,4
2404,LandRover Range Rover Autobiography LWB 3.0 I6 - 2021,LandRover,436643,https://bonbanh.com.vn/uploads/users/357411/car/3497097/s_1604118970.980.jpg,3497097,"Bán xe Range Rover Autobiography L P400 3.0 model 2021, màu đen, nhập khẩu Mỹ gía tốt nhất Việt Nam. Xe có sẵn giao ngay
- - Giao xe toàn quốc miễn phí vận chuyển.
- - Hỗ trợ mọi ...",Hà Nội,2021,47,438254,4
1107,LandRover Range Rover Autobiography LWB 3.0 I6 - 2020,LandRover,432277,https://bonbanh.com.vn/uploads/users/338888/car/3373122/s_1597481499.444.jpeg,3373122,"RANGE ROVER AUTOBIOGRAPHY LWB 3.0L
Bán Range Rover Autobiography Lwb 3.0L sản xuất 2020 màu Trắng nội thất Nâu da bò, Có sẵn giao ngay!
Range Rover Autobiography Lwb 3.0L được trang bị ...",TP HCM,2020,50,434876,4
1108,LandRover Range Rover Autobiography LWB 3.0 I6 - 2020,LandRover,432277,https://bonbanh.com.vn/uploads/users/338888/car/3373122/s_1597481499.444.jpeg,3373122,"RANGE ROVER AUTOBIOGRAPHY LWB 3.0L
Bán Range Rover Autobiography Lwb 3.0L sản xuất 2020 màu Trắng nội thất Nâu da bò, Có sẵn giao ngay!
Range Rover Autobiography Lwb 3.0L được trang bị ...",TP HCM,2020,42,435066,4
1109,LandRover Range Rover Autobiography LWB 3.0 I6 - 2020,LandRover,432277,https://bonbanh.com.vn/uploads/users/338888/car/3373122/s_1597481499.444.jpeg,3373122,"RANGE ROVER AUTOBIOGRAPHY LWB 3.0L
Bán Range Rover Autobiography Lwb 3.0L sản xuất 2020 màu Trắng nội thất Nâu da bò, Có sẵn giao ngay!
Range Rover Autobiography Lwb 3.0L được trang bị ...",TP HCM,2020,48,434511,4
1110,LandRover Range Rover Autobiography LWB 3.0 I6 - 2020,LandRover,432277,https://bonbanh.com.vn/uploads/users/338888/car/3373122/s_1597481499.444.jpeg,3373122,"RANGE ROVER AUTOBIOGRAPHY LWB 3.0L
Bán Range Rover Autobiography Lwb 3.0L sản xuất 2020 màu Trắng nội thất Nâu da bò, Có sẵn giao ngay!
Range Rover Autobiography Lwb 3.0L được trang bị ...",TP HCM,2020,36,433478,4
344,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,67,430912,4
345,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,28,430772,4
346,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,32,430169,4
347,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,52,429877,4
348,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,37,431083,4
349,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,58,432326,4
350,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,45,431934,4
351,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,25,430727,4
352,Lexus LX 570 Super Sport MBS - 2020,Lexus,427565,https://bonbanh.com.vn/uploads/users/339373/car/3369459/s_1597300605.334.jpeg,3369459,"LX570 SuperSport Autobiography MBS
Lexus đã trang bị cho xe hàng ghế sau dạng thương gia với from mẫu 2020 với 2 chỗ ngồi riêng biệt và cắt bỏ hàng ghế thứ 3. Được biết phiên ...",Hà Nội,2020,55,430505,4
1907,Mercedes Benz GLS 580 4Matic - 2020,Mercedes,425835,https://bonbanh.com.vn/uploads/users/125573/car/3206926/s_1588828510.242.jpg,3206926,"Bán Mercedes Benz GLS580 V8 4.0L 2020
Thông số kỹ thuật:
Kích thước: 5212 x 1956 x 1824 mm
Động cơ: V8 4.0 Tăng áp kép Hybrid
Công suất: 483Hp/700Nm
Hộp số: Tự động 9 cấp ...",Hà Nội,2020,57,429573,4
1908,Mercedes Benz GLS 580 4Matic - 2020,Mercedes,425835,https://bonbanh.com.vn/uploads/users/125573/car/3206926/s_1588828510.242.jpg,3206926,"Bán Mercedes Benz GLS580 V8 4.0L 2020
Thông số kỹ thuật:
Kích thước: 5212 x 1956 x 1824 mm
Động cơ: V8 4.0 Tăng áp kép Hybrid
Công suất: 483Hp/700Nm
Hộp số: Tự động 9 cấp ...",Hà Nội,2020,44,430590,4
1909,Mercedes Benz GLS 580 4Matic - 2020,Mercedes,425835,https://bonbanh.com.vn/uploads/users/125573/car/3206926/s_1588828510.242.jpg,3206926,"Bán Mercedes Benz GLS580 V8 4.0L 2020
Thông số kỹ thuật:
Kích thước: 5212 x 1956 x 1824 mm
Động cơ: V8 4.0 Tăng áp kép Hybrid
Công suất: 483Hp/700Nm
Hộp số: Tự động 9 cấp ...",Hà Nội,2020,68,427897,4
1910,Mercedes Benz GLS 580 4Matic - 2020,Mercedes,425835,https://bonbanh.com.vn/uploads/users/125573/car/3206926/s_1588828510.242.jpg,3206926,"Bán Mercedes Benz GLS580 V8 4.0L 2020
Thông số kỹ thuật:
Kích thước: 5212 x 1956 x 1824 mm
Động cơ: V8 4.0 Tăng áp kép Hybrid
Công suất: 483Hp/700Nm
Hộp số: Tự động 9 cấp ...",Hà Nội,2020,20,428207,4
1911,Mercedes Benz GLS 580 4Matic - 2020,Mercedes,425835,https://bonbanh.com.vn/uploads/users/125573/car/3206926/s_1588828510.242.jpg,3206926,"Bán Mercedes Benz GLS580 V8 4.0L 2020
Thông số kỹ thuật:
Kích thước: 5212 x 1956 x 1824 mm
Động cơ: V8 4.0 Tăng áp kép Hybrid
Công suất: 483Hp/700Nm
Hộp số: Tự động 9 cấp ...",Hà Nội,2020,60,429373,4
1859,Rolls Royce Ghost 6.6 V12 - 2012,Rolls,415027,https://bonbanh.com.vn/uploads/users/477727/car/3372348/s_1597455260.456.jpg,3372348,"Chúng Tôi K3TLuxcar bán hơn một siêu phẩm!
Thương hiệu ROLLS-ROYCE vốn đã là một kiệt tác dành cho giới #QUÝ_TỘC cà #HOÀNG_GIA #ANH_QUỐC. Chính bởi vậy Ai cũng muốn sở hữu ...",Hà Nội,2012,38,416449,4
1860,Rolls Royce Ghost 6.6 V12 - 2012,Rolls,415027,https://bonbanh.com.vn/uploads/users/477727/car/3372348/s_1597455260.456.jpg,3372348,"Chúng Tôi K3TLuxcar bán hơn một siêu phẩm!
Thương hiệu ROLLS-ROYCE vốn đã là một kiệt tác dành cho giới #QUÝ_TỘC cà #HOÀNG_GIA #ANH_QUỐC. Chính bởi vậy Ai cũng muốn sở hữu ...",Hà Nội,2012,22,416507,4
1861,Rolls Royce Ghost 6.6 V12 - 2012,Rolls,415027,https://bonbanh.com.vn/uploads/users/477727/car/3372348/s_1597455260.456.jpg,3372348,"Chúng Tôi K3TLuxcar bán hơn một siêu phẩm!
Thương hiệu ROLLS-ROYCE vốn đã là một kiệt tác dành cho giới #QUÝ_TỘC cà #HOÀNG_GIA #ANH_QUỐC. Chính bởi vậy Ai cũng muốn sở hữu ...",Hà Nội,2012,40,419502,4
1862,Rolls Royce Ghost 6.6 V12 - 2012,Rolls,415027,https://bonbanh.com.vn/uploads/users/477727/car/3372348/s_1597455260.456.jpg,3372348,"Chúng Tôi K3TLuxcar bán hơn một siêu phẩm!
Thương hiệu ROLLS-ROYCE vốn đã là một kiệt tác dành cho giới #QUÝ_TỘC cà #HOÀNG_GIA #ANH_QUỐC. Chính bởi vậy Ai cũng muốn sở hữu ...",Hà Nội,2012,65,420026,4
1863,Rolls Royce Ghost 6.6 V12 - 2012,Rolls,415027,https://bonbanh.com.vn/uploads/users/477727/car/3372348/s_1597455260.456.jpg,3372348,"Chúng Tôi K3TLuxcar bán hơn một siêu phẩm!
Thương hiệu ROLLS-ROYCE vốn đã là một kiệt tác dành cho giới #QUÝ_TỘC cà #HOÀNG_GIA #ANH_QUỐC. Chính bởi vậy Ai cũng muốn sở hữu ...",Hà Nội,2012,37,418342,4
1864,Rolls Royce Ghost 6.6 V12 - 2012,Rolls,415027,https://bonbanh.com.vn/uploads/users/477727/car/3372348/s_1597455260.456.jpg,3372348,"Chúng Tôi K3TLuxcar bán hơn một siêu phẩm!
Thương hiệu ROLLS-ROYCE vốn đã là một kiệt tác dành cho giới #QUÝ_TỘC cà #HOÀNG_GIA #ANH_QUỐC. Chính bởi vậy Ai cũng muốn sở hữu ...",Hà Nội,2012,47,416177,4
1865,Rolls Royce Ghost 6.6 V12 - 2012,Rolls,415027,https://bonbanh.com.vn/uploads/users/477727/car/3372348/s_1597455260.456.jpg,3372348,"Chúng Tôi K3TLuxcar bán hơn một siêu phẩm!
Thương hiệu ROLLS-ROYCE vốn đã là một kiệt tác dành cho giới #QUÝ_TỘC cà #HOÀNG_GIA #ANH_QUỐC. Chính bởi vậy Ai cũng muốn sở hữu ...",Hà Nội,2012,46,418317,4
